City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
305,Avarua,20,CK,1651779857,74,-21.2078,-159.775,82.45,6.91
306,Viedma,46,AR,1651779956,38,-40.8135,-62.9967,70.52,6.15
307,Ponta Delgada,20,PT,1651779908,82,37.7333,-25.6667,63.32,14.97
308,Aripuanã,100,BR,1651780173,75,-9.1667,-60.6333,80.92,1.7
309,Yershov,100,RU,1651780173,56,51.3513,48.2766,41.65,12.06
310,North Bend,100,US,1651779921,91,43.4065,-124.2243,57.85,20.71
311,Brighton,0,GB,1651780005,82,50.8284,-0.1395,60.75,4.61
312,Parabel',66,RU,1651780174,69,58.6978,81.4825,44.58,7.07
313,Vadgaon,0,IN,1651780174,26,20.9402,74.8712,90.19,9.24
314,Gwembe,0,ZM,1651780175,70,-16.4975,27.6069,61.02,1.68
315,Kabo,100,CF,1651780175,70,7.6994,18.629,77.36,3.04
316,Coxim,0,BR,1651780176,35,-18.5067,-54.76,79.03,2.91
317,Chara,15,RU,1651780176,69,56.9064,118.2631,22.93,3.44
318,Rome,0,US,1651780025,37,43.2128,-75.4557,66.51,4.61
319,Paamiut,100,GL,1651780109,79,61.994,-49.6678,32.63,3.27
320,Farmington,0,US,1651780015,23,36.7281,-108.2187,71.15,23.02
321,Arlit,78,NE,1651780177,10,18.7369,7.3853,95.32,11.56
322,Kulachi,0,PK,1651780177,34,31.9286,70.4592,84.27,5.53
323,Seydi,0,TM,1651780177,36,39.4816,62.9137,77.04,3.15
324,Alofi,25,NU,1651779946,78,-19.0595,-169.9187,78.69,8.05
325,Ranong,76,TH,1651780178,91,9.9658,98.6348,78.08,4.52
326,Malanje,18,AO,1651780178,79,-9.5402,16.341,66.31,1.88
327,Serov,100,RU,1651780179,80,59.6033,60.5787,33.69,14.74
328,Belmonte,0,BR,1651780179,79,-15.8631,-38.8828,80.71,11.18
329,Takaungu,66,KE,1651780179,82,-3.6837,39.8566,78.37,14.03
330,Geraldton,0,AU,1651779795,47,-28.7667,114.6,57.61,12.66
331,Uspenka,100,UA,1651780180,56,48.3903,39.1619,47.07,11.63
332,Sambava,36,MG,1651780180,86,-14.2667,50.1667,74.08,11.18
333,Bonavista,100,CA,1651780181,95,48.6499,-53.1147,40.53,15.68
334,Tiksi,88,RU,1651779839,99,71.6872,128.8694,4.48,6.02
335,Cururupu,58,BR,1651780181,78,-1.8283,-44.8683,81.55,4.7
336,Karratha,0,AU,1651780181,38,-20.7377,116.8463,74.61,16.6
337,Katobu,100,ID,1651780182,92,-4.9408,122.5276,75.16,2.26
338,Tessalit,100,ML,1651780182,13,20.1986,1.0114,96.06,9.44
339,Ambovombe,18,MG,1651780183,83,-25.1667,46.0833,70.5,10.49
340,Nemuro,14,JP,1651780183,96,43.3236,145.575,40.05,8.57
341,Maceió,40,BR,1651779933,65,-9.6658,-35.7353,85.44,9.22
342,Umluj,0,SA,1651780183,49,25.0213,37.2685,77.27,11.43
343,Umba,100,RU,1651780184,85,66.6871,34.3429,32.52,12.62
344,Serdobsk,1,RU,1651780184,58,52.4586,44.2169,38.16,5.77
345,Mareeba,7,AU,1651780185,93,-17.0,145.4333,67.44,1.88
